date,day_of_week,time_slot,exam_dday,is_exam,is_raining,g1,g2,g3,total
2026-04-01,2,1,23,0,0,37,27,26,90
2026-04-01,2,2,23,0,0,19,23,33,75
2026-04-01,2,3,23,0,0,30,42,30,102
2026-04-02,3,1,22,0,0,18,31,43,92
2026-04-02,3,2,22,0,0,40,40,35,115
2026-04-02,3,3,22,0,0,33,30,21,84
2026-04-03,4,1,21,0,0,32,41,30,103
2026-04-03,4,2,21,0,0,15,19,42,76
2026-04-03,4,3,21,0,0,41,35,37,113
2026-04-04,5,1,20,0,1,21,20,36,77
2026-04-04,5,2,20,0,0,32,34,30,96
2026-04-06,0,1,18,0,1,31,24,39,94
2026-04-06,0,2,18,0,0,25,25,36,86
2026-04-06,0,3,18,0,0,37,33,38,108
2026-04-07,1,1,17,0,1,25,13,24,62
2026-04-07,1,2,17,0,0,37,12,21,70
2026-04-07,1,3,17,0,0,28,25,18,71
2026-04-08,2,1,16,0,0,21,12,30,63
2026-04-08,2,2,16,0,0,51,41,33,125
2026-04-08,2,3,16,0,0,33,28,37,98
2026-04-09,3,1,15,0,1,33,36,51,120
2026-04-09,3,2,15,0,0,35,39,32,106
2026-04-09,3,3,15,0,1,28,33,27,88
2026-04-10,4,1,14,0,0,29,35,34,98
2026-04-10,4,2,14,0,1,26,21,44,91
2026-04-10,4,3,14,0,0,37,45,34,116
2026-04-11,5,1,13,0,0,25,19,43,87
2026-04-11,5,2,13,0,0,43,33,37,113
2026-04-13,0,1,11,0,0,16,41,27,84
2026-04-13,0,2,11,0,0,30,31,40,101
2026-04-13,0,3,11,0,1,28,21,21,70
2026-04-14,1,1,10,0,0,43,20,28,91
2026-04-14,1,2,10,0,0,25,40,14,79
2026-04-14,1,3,10,0,1,19,25,47,91
2026-04-15,2,1,9,0,0,39,21,30,90
2026-04-15,2,2,9,0,1,45,7,40,92
2026-04-15,2,3,9,0,1,26,29,48,103
2026-04-16,3,1,8,0,0,30,40,44,114
2026-04-16,3,2,8,0,0,40,39,26,105
2026-04-16,3,3,8,0,0,39,27,52,118
2026-04-17,4,1,7,0,1,20,28,30,78
2026-04-17,4,2,7,0,0,42,29,43,114
2026-04-17,4,3,7,0,0,38,19,35,92
2026-04-18,5,1,6,0,0,42,54,41,137
2026-04-18,5,2,6,0,0,47,32,36,115
2026-04-20,0,1,4,0,0,41,32,53,126
2026-04-20,0,2,4,0,0,47,42,42,131
2026-04-20,0,3,4,0,1,54,48,42,144
2026-04-21,1,1,3,0,0,39,50,58,147
2026-04-21,1,2,3,0,0,34,52,43,129
2026-04-21,1,3,3,0,0,48,31,41,120
2026-04-22,2,1,2,0,0,47,37,58,142
2026-04-22,2,2,2,0,1,38,40,59,137
2026-04-22,2,3,2,0,1,46,45,45,136
2026-04-23,3,1,1,0,0,35,34,51,120
2026-04-23,3,2,1,0,0,30,54,41,125
2026-04-23,3,3,1,0,0,46,40,51,137
2026-04-24,4,1,0,1,0,51,45,62,158
2026-04-24,4,2,0,1,0,59,52,58,169
2026-04-24,4,3,0,1,1,47,53,42,142
2026-04-25,5,1,99,0,0,29,42,31,102
2026-04-25,5,2,99,0,1,37,32,35,104
2026-04-27,0,1,0,1,0,55,53,70,178
2026-04-27,0,2,0,1,0,51,29,56,136
2026-04-27,0,3,0,1,0,45,68,69,182
2026-04-28,1,1,0,1,0,52,68,68,188
2026-04-28,1,2,0,1,0,57,51,60,168
2026-04-28,1,3,0,1,0,58,52,70,180
2026-04-29,2,1,0,1,0,47,60,62,169
2026-04-29,2,2,0,1,0,47,62,70,179
2026-04-29,2,3,0,1,0,52,58,60,170
2026-04-30,3,1,0,1,0,46,66,47,159
2026-04-30,3,2,0,1,0,54,48,55,157
2026-04-30,3,3,0,1,0,56,66,64,186
